width,length,depth,longitude,latitude
4.804687902,1.897844359,4.345184494,-87.804756,41.908868
2.565842274,4.414430574,4.838154481,-87.702778,41.684228
2.427792076,4.751200639,4.902301184,-87.666635,41.764877
4.473406285,3.259578828,4.113133003,-87.657067,41.765008
4.788330552,0.1394029,4.666989994,-87.647751,41.765153
4.587649802,1.123624052,4.466826261,-87.644371,41.765204
3.755596388,2.403648662,4.364371192,-87.618476,41.765644
4.000666787,3.593559481,3.93241314,-87.574226,41.76626
3.146943143,3.914737585,4.276384211,-87.551476,41.739836
4.147153898,2.305760885,3.97068742,-87.55132,41.732725
3.499110636,3.540522074,3.84536738,-87.551124,41.724444
0.527425224,4.702482839,4.983915656,-87.551016,41.718183
3.710985116,1.400433091,4.20509652,-87.606798,41.820171
3.707807855,0.252951305,4.466033791,-87.606532,41.807987
1.226104878,4.217746436,4.697715798,-87.606302,41.797881
2.481670132,3.491144468,4.205124722,-87.605979,41.78269
4.769328345,3.4484112,3.029718174,-87.605826,41.775779
3.909905971,0.319155424,4.209837903,-87.605711,41.770685
4.710332702,4.230482222,2.94895626,-87.605452,41.760801
3.80671999,2.451579025,3.694199001,-87.604779,41.734791
3.933669186,2.54099775,3.615053739,-87.60573,41.710922
3.093547726,1.29307364,4.2120396,-87.676043,41.859378
4.404427884,0.519039307,3.640755112,-87.67592,41.854926
4.539377876,4.260890185,2.622582195,-87.67579,41.850395
4.4492315,0.044229451,3.739018605,-87.675652,41.844875
4.30434052,3.578032762,2.845292184,-87.675279,41.830389
4.880287331,4.119725638,2.364909311,-87.675208,41.827625
3.849490688,2.836554911,3.111248678,-87.674569,41.803741
1.233100546,2.797089475,4.425684539,-87.674075,41.785746
1.710074599,0.90855981,4.695148141,-87.673671,41.770409
2.184704648,2.446258166,4.075645621,-87.673336,41.757363
1.369924046,4.733053924,3.741686569,-87.617465,41.838419
4.018187528,2.798899947,2.863509366,-87.617039,41.825982
1.838930258,1.748715054,4.146992384,-87.616741,41.814852
0.719038171,4.026696817,3.921143961,-87.626468,41.833661
2.186534272,3.38456921,3.232575247,-87.615989,41.795094
1.88293282,3.218182419,3.390310271,-87.615027,41.754187
2.405199149,4.456875217,2.864055644,-87.614254,41.726239
1.366522762,1.864723445,3.976887215,-87.613745,41.706494
0.595985006,1.447383061,4.399358548,-87.55646,41.755798
2.127723857,0.921569678,3.802481553,-87.5528,41.7504
4.32506087,3.439028462,2.007811897,-87.622471,41.863938
2.66036563,4.97059454,2.484490844,-87.62228,41.85566
3.808928762,2.825192001,2.391286214,-87.621788,41.832167
3.753298256,4.311773095,1.936912068,-87.621694,41.828022
3.008663596,0.452667268,3.228059426,-87.620665,41.787779
0.698548552,4.421420495,3.402030134,-87.529702,41.707611
4.356106262,0.23052788,2.478909361,-87.575158,41.775215
4.531654846,2.515640739,1.834652297,-87.576414,41.77038
1.793651976,1.650487038,3.397291753,-87.576196,41.761454
2.482396859,0.277443437,3.25703877,-87.575902,41.747152
0.815228685,4.382144381,3.057126931,-87.575714,41.737902
2.092531857,2.852216886,2.720230196,-87.575753,41.739269
2.068313254,2.899968904,2.609190341,-87.57529,41.719732
4.530776797,2.841766901,1.336578936,-87.615174,41.760689
3.905719909,0.488523128,2.154133281,-87.618459,41.849344
1.013939977,3.211077625,3.067976344,-87.587322,41.797367
2.28512543,3.803879981,2.117273326,-87.624115,41.865924
3.275755927,1.150074458,2.199490252,-87.623745,41.850595
