date_of_count,id,latitude,location,longitude,street,total_passing_vehicle_volume,traffic_volume_count_location_address,vehicle_volume_by_each_direction_of_traffic
2006-12-20T02:00:00.000,728,41.908868,"{'type': 'Point', 'coordinates': [-87.804756, 41.908868]}",-87.80475600000001,North Ave,36000,7168 West,East Bound: 17100 / West Bound: 18900
2006-08-22T02:00:00.000,816,41.684228000000004,"{'type': 'Point', 'coordinates': [-87.702778, 41.684228]}",-87.70277800000001,115th St,15500,3254 West,East Bound: 8100 / West Bound: 7400
2006-03-09T02:00:00.000,2,41.764877,"{'type': 'Point', 'coordinates': [-87.666635, 41.764877]}",-87.666635,71st Street,14600,1708 West,East Bound: 6900 / West Bound: 7700
2006-02-28T02:00:00.000,3,41.765008,"{'type': 'Point', 'coordinates': [-87.657067, 41.765008]}",-87.657067,71st Street,16500,1275 West,East Bound: 7800 / West Bound: 8700
2006-02-28T02:00:00.000,5,41.765153000000005,"{'type': 'Point', 'coordinates': [-87.647751, 41.765153]}",-87.647751,71st Street,18200,920 West,East Bound: 8800 / West Bound: 9400
2006-02-28T02:00:00.000,6,41.765204,"{'type': 'Point', 'coordinates': [-87.644371, 41.765204]}",-87.64437099999999,71st Street,21600,758 West,East Bound: 10400 / West Bound: 11200
2006-02-28T02:00:00.000,7,41.765644,"{'type': 'Point', 'coordinates': [-87.618476, 41.765644]}",-87.618476,71st St,18300,240 East,East Bound: 9000 / West Bound: 9300
2006-03-09T02:00:00.000,9,41.766259999999996,"{'type': 'Point', 'coordinates': [-87.574226, 41.76626]}",-87.574226,71st St,8600,2050 East,East Bound: 3600 / West Bound: 5000
2006-03-07T02:00:00.000,10,41.739836,"{'type': 'Point', 'coordinates': [-87.551476, 41.739836]}",-87.551476,Commercial Ave,10000,8539 South,North Bound: 5000 / South Bound: 5000
2006-03-07T02:00:00.000,11,41.732725,"{'type': 'Point', 'coordinates': [-87.55132, 41.732725]}",-87.55131999999999,Commercial Ave,10500,8933 South,North Bound: 4900 / South Bound: 5600
2006-03-07T02:00:00.000,12,41.724444,"{'type': 'Point', 'coordinates': [-87.551124, 41.724444]}",-87.551124,Commercial Ave,12700,9379 South,North Bound: 6000 / South Bound: 6700
